voltage,current,percentage,data,xl1,yl1,xo1,yo1,zo1,wo1,xav1,yav1,zav1,xla1,yla1,zla1,xav2,yav2,zav2,xla2,yla2,zla2,xmf,ymf,mf,fluid_pressure,temperature,xo2,yo2,zo2,wo2,xp1,yp1,zp1,xtl1,ytl1,ztl1,xa1,ya1,za1,xp2,yp2,zp2,xo2,yo2,zo2,wo2,latitude1,longitude1,altitude1,xp3,yp3,zp3,xo3,yo3,zo3,wo3,xl3,yl3,zl3,latitude2,longitude2,altitude2,data,xlt1,ylt1,zlt1,xlt2,ylt2,zlt2,xat,yat,zat,normality
16.42300034,0,0.99000001,62.85,-0.137453784,0.184408398,-0.007621185,-0.004687104,-0.234685299,-0.972030225,0.000213866,0.000151484,0.002009616,-0.10787315,0.08825985,9.80665,0.001,1.22E-19,0.001,-0.10787315,0.08825985,9.80665,111000,222000,-379000,94247.49756,42.96,-0.007621185,-0.004687104,-0.234685299,-0.972030225,-0.553047657,3.1822505,-0.863592863,0.160412215,-0.003352011,-0.05953003,0.000213866,0.000151484,0.002009616,-0.553047657,3.1822505,-0.863592863,-0.007621185,-0.004687104,-0.234685299,-0.972030225,40.3548519,-3.7441363,706.6966169,4.528345902,0.344268124,-0.863,-0.007621185,-0.004687104,-0.234685299,-0.972030225,0.14,0.07,0.06,40.3548507,-3.7441322,694.5166122,-0.863,0.143508762,0.070966966,-0.060465395,0.160412215,-0.003352011,-0.05953003,0.000213866,0.000151484,0.002009616,1
16.47100067,0,0.99000001,62.86,-0.251002562,0.336745771,-0.007844751,-0.004502887,-0.234648046,-0.972038311,-0.001187363,-0.000857609,-0.001255972,-0.10787315,0.06864655,9.77723005,0,0,0,-0.10787315,0.06864655,9.77723005,114000,217000,-377000,94245.79468,42.96,-0.007844751,-0.004502887,-0.234648046,-0.972038311,-0.528660297,3.119521618,-0.881651878,0.132591944,-0.025489098,-0.062489767,-0.001187363,-0.000857609,-0.001255972,-0.528660297,3.119521618,-0.881651878,-0.007844751,-0.004502887,-0.234648046,-0.972038311,40.3548514,-3.744136,706.6766161,4.553833797,0.288741242,-0.881,-0.007844751,-0.004502887,-0.234648046,-0.972038311,0.12,0.03,0.06,40.3548502,-3.7441325,694.496612,-0.881,0.128834188,0.038636185,-0.063594699,0.132591944,-0.025489098,-0.062489767,-0.001187363,-0.000857609,-0.001255972,1
16.36000061,0,0.99000001,62.86,-0.107572526,0.144319616,-0.008120401,-0.004272798,-0.234578753,-0.972053811,0.001718535,-0.001542747,-0.001125217,-0.10787315,0.0784532,9.77723005,0,0,0,-0.10787315,0.0784532,9.77723005,111000,216000,-369000,94246.55151,42.96,-0.008120401,-0.004272798,-0.234578753,-0.972053811,-0.517265797,3.037045956,-0.897155762,0.100022562,-0.05109375,-0.066240501,0.001718535,-0.001542747,-0.001125217,-0.517265797,3.037045956,-0.897155762,-0.008120401,-0.004272798,-0.234578753,-0.972053811,40.3548506,-3.7441358,706.6666152,4.570825761,0.199898218,-0.897,-0.008120401,-0.004272798,-0.234578753,-0.972053811,0.11,0,0.06,40.3548495,-3.7441328,694.6866115,-0.897,0.111505955,0.001070892,-0.067588188,0.100022562,-0.05109375,-0.066240501,0.001718535,-0.001542747,-0.001125217,1
16.36400032,0,0.99000001,62.86,-0.155382538,0.208461668,-0.008404232,-0.004010122,-0.234530372,-0.972064191,0.000330002,0.000270217,0.001530935,-0.1176798,0.06864655,9.7870367,0,0,0,-0.1176798,0.06864655,9.7870367,104000,221000,-373000,94244.7998,42.96,-0.008404232,-0.004010122,-0.234530372,-0.972064191,-0.505855083,2.991252899,-0.908192396,0.078779401,-0.0589687,-0.068169028,0.000330002,0.000270217,0.001530935,-0.505855083,2.991252899,-0.908192396,-0.008404232,-0.004010122,-0.234530372,-0.972064191,40.3548502,-3.7441357,706.6566147,4.57932174,0.155476705,-0.908,-0.008404232,-0.004010122,-0.234530372,-0.972064191,0.09,-0.01,0.06,40.3548485,-3.744133,694.5966107,-0.908,0.096193463,-0.015562359,-0.069535233,0.078779401,-0.0589687,-0.068169028,0.000330002,0.000270217,0.001530935,1
16.41799927,0,0.99000001,62.86,-0.011952503,0.016035513,-0.008488704,-0.003894096,-0.234552425,-0.972058608,0.000994225,-0.000740422,-0.00359525,-0.0980665,0.0784532,9.77723005,0,1.22E-19,0.001,-0.0980665,0.0784532,9.77723005,122000,216000,-383000,94245.24536,42.96,-0.008488704,-0.003894096,-0.234552425,-0.972058608,-0.479903698,2.988118172,-0.916147232,0.072535077,-0.053504574,-0.068748139,0.000994225,-0.000740422,-0.00359525,-0.479903698,2.988118172,-0.916147232,-0.008488704,-0.003894096,-0.234552425,-0.972058608,40.3548502,-3.7441354,706.6466145,4.604809609,0.155476721,-0.916,-0.008488704,-0.003894096,-0.234552425,-0.972058608,0.08,-0.01,0.06,40.3548486,-3.7441328,694.6766107,-0.916,0.088152051,-0.013520202,-0.069977164,0.072535077,-0.053504574,-0.068748139,0.000994225,-0.000740422,-0.00359525,1
16.47299957,0,0.99000001,62.87,-0.179287544,0.240532693,-0.008411635,-0.003831706,-0.234527381,-0.972065569,0.000542726,-0.000277682,-0.000889685,-0.10787315,0.0784532,9.7870367,0,-0.001,1.22E-19,-0.10787315,0.0784532,9.7870367,123000,218000,-371000,94246.63086,42.96,-0.008411635,-0.003831706,-0.234527381,-0.972065569,-0.456182957,2.991552353,-0.931493044,0.067159919,-0.045708118,-0.072302256,0.000542726,-0.000277682,-0.000889685,-0.456182957,2.991552353,-0.931493044,-0.008411635,-0.003831706,-0.234527381,-0.972065569,40.3548502,-3.7441351,706.6266142,4.63029747,0.155476736,-0.931,-0.008411635,-0.003831706,-0.234527381,-0.972065569,0.07,0,0.07,40.3548486,-3.7441326,694.6466105,-0.931,0.079783827,-0.008995012,-0.073354848,0.067159919,-0.045708118,-0.072302256,0.000542726,-0.000277682,-0.000889685,1
16.35700035,0,0.99000001,62.86,-0.029881257,0.040088782,-0.008259107,-0.003832091,-0.234504787,-0.972072326,7.65E-06,-0.000120354,-0.000310546,-0.0980665,0.08825985,9.77723005,0.001,2.45E-19,0.002,-0.0980665,0.08825985,9.77723005,112000,217000,-368000,94247.82715,42.96,-0.008259107,-0.003832091,-0.234504787,-0.972072326,-0.439661503,3.008841038,-0.947969913,0.062005406,-0.032199709,-0.076210427,7.65E-06,-0.000120354,-0.000310546,-0.439661503,3.008841038,-0.947969913,-0.008259107,-0.003832091,-0.234504787,-0.972072326,40.3548504,-3.7441349,706.6166142,4.647289366,0.177687504,-0.947,-0.008259107,-0.003832091,-0.234504787,-0.972072326,0.06,0,0.07,40.3548487,-3.7441323,694.5766103,-0.947,0.068999104,0.000705785,-0.076994456,0.062005406,-0.032199709,-0.076210427,7.65E-06,-0.000120354,-0.000310546,1
16.36100006,0,0.99000001,62.87,-0.268931316,0.36079904,-0.008131954,-0.003787356,-0.234542564,-0.972064459,-0.001450993,0.001151739,-0.0001953,-0.10787315,0.0784532,9.7870367,0,0,0,-0.10787315,0.0784532,9.7870367,109000,217000,-370000,94245.25757,42.96,-0.008131954,-0.003787356,-0.234542564,-0.972064459,-0.422655582,2.995497227,-0.960315704,0.050373505,-0.031942052,-0.079277252,-0.001450993,0.001151739,-0.0001953,-0.422655582,2.995497227,-0.960315704,-0.008131954,-0.003787356,-0.234542564,-0.972064459,40.3548503,-3.7441347,706.596614,4.664281276,0.166582135,-0.96,-0.008131954,-0.003787356,-0.234542564,-0.972064459,0.05,0,0.08,40.3548488,-3.7441319,694.4066101,-0.96,0.058506809,-0.00433859,-0.080004983,0.050373505,-0.031942052,-0.079277252,-0.001450993,0.001151739,-0.0001953,1
16.40399933,0,0.99000001,62.87,-0.16135879,0.216479424,-0.008166998,-0.003697888,-0.234511614,-0.972071977,-0.000282415,0.000469061,0.000168266,-0.10787315,0.08825985,9.77723005,0,1.22E-19,0.001,-0.10787315,0.08825985,9.77723005,113000,216000,-380000,94247.61353,42.96,-0.008166998,-0.003697888,-0.234511614,-0.972071977,-0.394902706,2.935957432,-0.966193914,0.034473409,-0.051656033,-0.078587023,-0.000282415,0.000469061,0.000168266,-0.394902706,2.935957432,-0.966193914,-0.008166998,-0.003697888,-0.234511614,-0.972071977,40.3548497,-3.7441344,706.5966131,4.689769193,0.099949876,-0.966,-0.008166998,-0.003697888,-0.234511614,-0.972071977,0.05,-0.02,0.07,40.3548473,-3.744131,693.9866079,-0.966,0.053362802,-0.029136585,-0.079599954,0.034473409,-0.051656033,-0.078587023,-0.000282415,0.000469061,0.000168266,1
16.47299957,0,0.99000001,62.87,-0.119525029,0.160355129,-0.008385852,-0.003619899,-0.234486903,-0.972076368,0.000588052,0.000968357,-0.000151683,-0.10787315,0.06864655,9.79684335,0,0,0,-0.10787315,0.06864655,9.79684335,116000,217000,-378000,94245.6543,42.96,-0.008385852,-0.003619899,-0.234486903,-0.972076368,-0.384650707,2.867647648,-0.972998857,0.01067684,-0.066890417,-0.077907416,0.000588052,0.000968357,-0.000151683,-0.384650707,2.867647648,-0.972998857,-0.008385852,-0.003619899,-0.234486903,-0.972076368,40.3548491,-3.7441343,706.5866124,4.698265186,0.033317606,-0.972,-0.008385852,-0.003619899,-0.234486903,-0.972076368,0.03,-0.05,0.07,40.3548466,-3.7441307,693.9766069,-0.972,0.039137606,-0.053519305,-0.079131663,0.01067684,-0.066890417,-0.077907416,0.000588052,0.000968357,-0.000151683,1
