,value,normality
0,21503.875,0
1,20722.0,0
2,51609.5,0
3,13463.75,0
4,1776.625,0
5,22436.0,0
6,5106.875,0
7,24903.875,0
8,18051.375,0
9,5720.625,0
10,12260.125,0
11,8326.625,0
12,25262.625,0
13,3831.875,0
14,587.375,0
15,10782.625,0
16,12359.125,0
17,27064.375,0
18,19820.125,0
19,16380.125,0
20,33178.0,0
21,49285.875,0
22,34046.375,0
23,2625.375,0
24,4009.25,0
25,32204.75,0
26,11179.75,0
27,7599.5,0
28,39295.5,0
29,37003.375,0
30,23972.625,0
31,1945.625,0
32,8209.125,0
33,8852.25,0
34,2837.0,0
35,7763.625,0
36,75365.375,0
37,89321.0,0
38,38838.0,0
39,1228.875,0
40,10981.0,0
41,206.375,0
42,31625.625,0
43,10065.875,0
44,10092.5,0
45,7544.0,0
46,5263.25,0
47,69966.875,0
48,40958.5,0
49,23649.375,0
50,122474.125,0
51,17732.625,0
52,22615.875,0
53,8351.875,0
54,19701.25,0
55,23582.375,0
56,12646.375,0
57,5777.875,0
58,14480.125,0
59,18665.875,0
60,692.75,0
61,12272.25,0
62,36731.0,0
63,6769.25,0
64,21807.875,0
65,16944.25,0
66,4509.125,0
67,9524.5,0
68,45134.125,0
69,18195.375,0
70,38399.5,0
71,8759.0,0
72,1781.375,0
73,3552.5,0
74,1346.875,0
75,6756.75,0
76,32926.625,0
77,11538.75,0
78,17589.125,0
79,2823.875,0
80,11672.875,0
81,3294.375,0
82,8814.125,0
83,18875.625,0
84,9471.25,0
85,5062.75,0
86,10261.75,0
87,6015.875,0
88,21656.375,0
89,2233.875,0
90,6618.5,0
91,6129.25,0
92,5303.375,0
93,28124.625,0
94,447.25,0
95,56637.125,0
96,18744.0,0
97,27478.25,0
98,35761.375,0
99,4458.125,0
100,5142.375,0
101,22299.125,0
102,3595.125,0
103,41809.75,0
104,8513.75,0
105,176.5,0
106,10352.25,0
107,1331.375,0
108,26053.25,0
109,39373.625,0
110,17538.875,0
111,22198.75,0
112,27496.5,0
113,12049.5,0
114,19380.625,0
115,28303.75,0
116,8213.625,0
117,10573.375,0
118,8938.625,0
119,12990.125,0
120,9675.625,0
121,23136.75,0
122,31459.625,0
123,1454.75,0
124,33684.0,0
125,25813.75,0
126,38450.0,0
127,17127.125,0
128,6865.875,0
129,11070.0,0
130,1641.75,0
131,2229.125,0
132,61.125,0
133,34578.125,0
134,6444.375,0
135,1416.625,0
136,16008.875,0
137,12240.375,0
138,30373.0,0
139,24958.5,0
140,256.25,0
141,15395.0,0
142,74035.375,0
143,33694.75,0
144,12111.75,0
145,24547.25,0
146,6108.25,0
147,6327.75,0
148,28041.125,0
149,1258.0,0
150,6590.125,0
151,31546.5,0
152,4182.0,0
153,885.0,0
154,16496.75,0
155,5051.0,0
156,22404.75,0
157,274.125,0
158,28242.75,0
159,18962.875,0
160,13895.375,0
161,2590.125,0
162,2597.5,0
163,9466.0,0
164,764.625,0
165,18978.0,0
166,34147.625,0
167,31167.75,0
168,26562.5,0
169,47945.25,0
170,5698.375,0
171,10093.125,0
172,20949.125,0
173,14636.5,0
174,6461.0,0
175,25341.375,0
176,18504.625,0
177,45592.25,0
178,24659.75,0
179,2589.875,0
180,2973.75,0
181,25123.0,0
182,38370.25,0
183,20688.25,0
184,23042.75,0
185,3362.0,0
186,730.5,0
187,17767.0,0
188,63886.0,0
189,99241.875,0
190,54388.25,0
191,13755.5,0
192,25413.125,0
193,12954.125,0
194,71110.5,0
195,58176.5,0
196,9901.375,0
197,3195.25,0
198,44906.5,0
199,28098.875,0
200,15969.125,0
201,16892.25,0
202,1216.5,0
203,5576.625,0
204,38701.625,0
205,18925.0,0
206,41823.25,0
207,36667.75,0
208,27419.5,0
209,17440.25,0
210,9477.375,0
211,20984.125,0
212,40609.375,0
213,5061.375,0
214,7529.25,0
215,13841.125,0
216,2147.25,0
217,22493.625,0
218,4002.75,0
219,7316.625,0
220,22924.375,0
221,4074.875,0
222,10088.5,0
223,28496.875,0
224,10774.5,0
225,2718.0,0
226,5757.25,0
227,18225.875,0
228,17800.5,0
229,15922.625,0
230,15328.375,0
231,17034.875,0
232,18695.625,0
233,11597.125,0
234,43464.375,1
235,14589.5,1
236,22450.5,1
237,53932.5,1
238,84374.875,1
239,215621.0,1
240,44326.5,1
241,103795.25,1
242,97198.75,1
243,138831.125,1
244,54222.875,1
245,40150.875,1
246,42425.125,1
247,217262.875,1
248,12799.25,1
249,297158.25,1
250,311924.375,1
251,850.5,1
252,70467.125,1
253,209304.75,1
254,152681.125,1
255,13665.125,1
256,4540.5,1
257,14313.875,1
258,174688.0,1
259,16834.0,1
260,133158.125,1
261,50048.625,1
262,138549.625,1
263,95548.25,1
264,1555.75,1
265,13680.75,1
266,174321.5,1
267,151724.125,1
268,74111.125,1
269,93190.625,1
270,112147.375,1
271,211195.375,1
272,45418.625,1
273,38161.375,1
274,2629.375,1
275,154189.375,1
276,65360.75,1
277,65742.75,1
278,37929.5,1
279,188298.125,1
280,434030.875,1
281,348409.25,1
282,528331.125,1
283,193851.5,1
284,186370.0,1
285,853554.125,1
286,1092432.0,1
287,195668.5,1
288,390760.75,1
289,346095.75,1
290,51890.375,1
291,181621.75,1
292,126239.875,1
293,40216.25,1
294,89710.125,1
295,153749.0,1
296,391776.0,1
297,37031.375,1
298,132669.125,1
299,431057.25,1
300,733735.875,1
301,498218.625,1
302,18818.625,1
303,193883.75,1
304,309223.0,1
305,212027.875,1
306,270498.75,1
307,185880.5625,1
308,531411.5625,1
309,94529.75,1
310,426276.375,1
311,593997.625,1
312,56103.125,1
313,188677.25,1
314,137109.625,1
315,92451.25,1
316,299206.375,1
317,309730.625,1
318,2341.5,1
319,33932.125,1
320,31928.25,1
321,197785.5,1
322,310851.5,1
323,69998.0,1
324,26715.125,1
325,177637.25,1
326,996804.375,1
327,611558.75,1
328,122304.25,1
329,175842.75,1
330,928896.125,1
331,309775.25,1
332,219618.875,1
333,204519.375,1
334,19265.0,1
335,462043.125,1
336,214378.125,1
337,428354.5,1
338,1027108.625,1
339,587579.25,1
340,112147.625,1
341,52191.25,1
342,28320.875,1
343,47680.75,1
344,46350.875,1
345,114090.5,1
346,288397.25,1
347,154851.375,1
348,233095.75,1
349,247127.375,1
350,452007.625,1
351,200400.375,1
352,86674.5,1
353,105537.75,1
354,14398.0,1
355,25424.375,1
356,36042.5,1
357,252565.375,1
358,809033.875,1
359,825324.0,1
360,80113.75,1
361,8107.375,1
362,145029.625,1
363,215151.625,1
364,64764.875,1
365,216851.5,1
366,41156.0,1
367,24299.375,1
368,19500.875,1
369,18897.125,1
370,166352.0,1
371,88919.125,1
372,142235.625,1
373,241885.375,1
374,100601.25,1
375,208624.375,1
376,52620.75,1
377,95612.375,1
378,1192.125,1
379,18050.875,1
380,357897.0,1
381,259929.75,1
382,729548.75,1
383,400818.25,1
384,61925.75,1
385,406913.125,1
386,149957.0,1
387,52950.625,1
388,386280.875,1
389,56383.75,1
390,100538.875,1
391,333984.375,1
392,486456.625,1
393,209116.5,1
394,495954.125,1
395,544243.75,1
396,118965.875,1
397,49706.25,1
398,100217.75,1
399,97209.625,1
400,134576.875,1
401,122898.375,1
402,174052.375,1
403,68208.125,1
